short_name,school_name,athletics_domain
SMU,SMU,https://smumustangs.com
South Alabama,South Alabama,https://usajaguars.com
South Carolina,University of South Carolina,https://gamecocksonline.com
South Carolina State,South Carolina State,https://scstatebulldogs.com
South Dakota,South Dakota,https://goyotes.com
South Dakota State,South Dakota State,https://gojacks.com
South Florida,University of South Florida,https://gousfbulls.com
Southeast Missouri State,Missouri State University,https://missouristatebears.com
Southeastern Louisiana,Southeastern Louisiana,https://lionsports.net
Southern,Southern,https://jaguarsports.com
Southern Illinois,Southern Illinois University Edwardsville,https://siuecougars.com
Southern Indiana,University of Southern Indiana,https://usiscreamingeagles.com
Southern Miss,Southern Miss,https://southernmiss.com
Southern Utah,Utah Tech University,https://utahtechtrailblazers.com
Stanford,Stanford,https://gostanford.com
Stephen F. Austin,Stephen F. Austin,https://sfajacks.com
Stetson,Stetson University,https://gohatters.com
Stonehill,Stonehill College,https://stonehillskyhawks.com
Stony Brook,Stony Brook University,https://stonybrookathletics.com
Syracuse,Syracuse University,https://cuse.com
Tarleton State,Tarleton State,https://tarletonsports.com
TCU,TCU,https://gofrogs.com
Temple,Temple University,https://owlsports.com
Tennessee,East Tennessee State University,https://etsubucs.com
Tennessee Tech,East Tennessee State University,https://etsubucs.com
Texas,University of Texas Rio Grande Valley,https://goutrgv.com
Texas A&M,University of Texas Rio Grande Valley,https://goutrgv.com
Texas A&M–Corpus Christi,Texas A&M–Corpus Christi,https://goislanders.com
Texas Southern,Texas Southern,https://tsusports.com
Texas State,University of Texas Rio Grande Valley,https://goutrgv.com
Texas Tech,University of Texas Rio Grande Valley,https://goutrgv.com
The Citadel,The Citadel,https://citadelsports.com
Toledo,Toledo,https://utrockets.com
Towson,Towson,https://towsontigers.com
Troy,Troy,https://troytrojans.com
Tulsa,University of Tulsa,https://tulsahurricane.com
UAB,UAB,https://uabsports.com
UC Davis,UC Davis,https://ucdavisaggies.com
UC Irvine,UC Irvine,https://ucirvinesports.com
UC Riverside,UC Riverside,https://ucrhighlanders.com
UC San Diego,UC San Diego,https://gouctritons.com
UC Santa Barbara,"University of California, Santa Barbara",http://ucsbgauchos.com
UCF,UCF,https://ucfknights.com
UCLA,UCLA,https://uclabruins.com
UConn,UConn,https://uconnhuskies.com
UIC,UIC,https://uicflames.com
UMass,UMass,https://umassathletics.com
UMass Lowell,UMass Lowell,https://goumasslowell.com
UMBC,UMBC,https://umbcretrievers.com
UNC Asheville,UNC Asheville,https://uncabulldogs.com
UNC Greensboro,UNC Greensboro,https://uncgspartans.com
UNC Wilmington,UNC Wilmington,https://uncwsports.com
UNLV,UNLV,https://unlvrebels.com
USC,USC,https://usctrojans.com
USC Upstate,USC Upstate,https://upstateathletics.com
UT Martin,UT Martin,https://utmsports.com
Utah,Utah Tech University,https://utahtechtrailblazers.com
Utah State,Utah Tech University,https://utahtechtrailblazers.com
Utah Tech,Utah Tech University,https://utahtechtrailblazers.com
Utah Valley,Utah Valley University,https://gouvu.com
UTEP,UTEP,https://utepathletics.com
UT Rio Grande Valley,University of Texas Rio Grande Valley,https://goutrgv.com
UTSA,UTSA,https://roadrunnersathletics.com
Valparaiso,Valparaiso,https://valpoathletics.com
Vanderbilt,Vanderbilt,https://vucommodores.com
VCU,VCU,https://vcuathletics.com
Vermont,University of Vermont,https://uvmathletics.com
Villanova,Villanova University,https://villanova.com
Virginia,University of Virginia,https://virginiasports.com
Virginia Tech,Virginia Tech,https://hokiesports.com
VMI,VMI,https://vmikeydets.com
Wagner,Wagner,https://wagnerathletics.com
Wake Forest,Wake Forest University,https://godeacs.com
Washington,University of Washington,https://gohuskies.com
Washington State,University of Washington,https://gohuskies.com
Weber State,Weber State,https://weberstatewildcats.com
West Florida,West Florida,https://uwfargonauts.com
West Georgia,Georgia State University,https://georgiastatesports.com
West Virginia,West Virginia University,https://wvusports.com
Western Carolina,Western Carolina,https://catamountsports.com
Western Illinois,Western Illinois University,https://goleathernecks.com
Western Kentucky,University of Kentucky,https://ukathletics.com
Western Michigan,Western Michigan University,https://wmubroncos.com
William & Mary,College of William & Mary,https://tribeathletics.com
Winthrop,Winthrop University,https://winthropeagles.com
Wisconsin,Wisconsin,https://uwbadgers.com
Wofford,Wofford College,https://woffordterriers.com
Wright State,Wright State University,https://wsuraiders.com
Wyoming,Wyoming,https://gowyo.com
Xavier,Xavier University,https://goxavier.com
Yale,Yale University,https://yalebulldogs.com
Youngstown State,Youngstown State,https://ysusports.com
